wallet,block,side,price_usd,size_eth
0xbdbebd58cc8153ce74530bb342427579315915b2,50780709,BUY,2379.04160350,0.0067059533
0xd83e60d273fd0cb3b05c2611db940fecb7b6ca64,50780730,BUY,2379.21458350,0.0008338424
0xf122b90b42cb57c1f7953fa654ad0e341935bd5d,50780740,BUY,2379.22390488,0.0035251642
0x824abda7e8bfcf47c543761c50bc7bf6756deda9,50780757,BUY,2378.89096041,0.0003609186
0xbdbebd58cc8153ce74530bb342427579315915b2,50780762,BUY,2378.76269600,0.0008365025
0x385cabd7edc10b230d32699ae9fe2cb0b6d63369,50780762,BUY,2378.75479856,0.0032090445
0xfbd5ff613ae469ad960b1c6cd4cc12100d744555,50780762,SELL,2376.37581543,0.0076605026
0x824abda7e8bfcf47c543761c50bc7bf6756deda9,50780764,BUY,2378.75619296,0.0001517360
0xfe68082a448f17a3d1700957b9f63176cecd334e,50780765,BUY,2378.76445803,0.0000433292
0x824abda7e8bfcf47c543761c50bc7bf6756deda9,50780766,BUY,2378.75460986,0.0014319123
0xf2d1aff8a41cdef7e06c8443866124184c3ef527,50780771,BUY,2378.87760006,0.1401018115
0xf04a2505afb967a1b4f43304e17994e94bdc13a1,50780772,BUY,2378.98202301,0.4786155490
0xd14602c85a25a4e520441c47a97a2c9da63ae1be,50780774,BUY,2379.81970791,0.7100307042
0xf0523316cf23ef167d874fa030b2214280e38ee6,50780784,SELL,2377.92554578,0.1860227444
0xfe68082a448f17a3d1700957b9f63176cecd334e,50780788,BUY,2380.29852856,0.0008764846
0xf2d1aff8a41cdef7e06c8443866124184c3ef527,50780797,SELL,2377.81303017,0.0911184026
0x956f9835ed55f501d7583a9c27bf2645526ca155,50780798,SELL,2377.77622100,0.1273588332
0x8eee59e87f13cbe3eb6e454025408a93edae6612,50780799,SELL,2377.75086893,0.0231012297
0x673b43387dc0cf8d589096334bf0cfb95217114c,50780803,SELL,2377.42264205,0.0253108816
0x98c0aa9b906dce9d3747e01c84e8c5559efd7ceb,50780812,SELL,2377.05208147,0.8120120178
0x4c5cc1ee96bee8310809c49523ad9d744dabdccd,50780813,SELL,2375.40147767,9.0000000000
0xf04a2505afb967a1b4f43304e17994e94bdc13a1,50780813,BUY,2377.75784292,2.2391625724
0xb0d80ac56082ce34d6709c6fb3c998f432b3e429,50780813,BUY,2378.19249212,0.3377563589
0x8eee59e87f13cbe3eb6e454025408a93edae6612,50780817,SELL,2376.33433276,0.0231452120
0xf04a2505afb967a1b4f43304e17994e94bdc13a1,50780834,BUY,2378.83733404,0.1478931653
0xf5f3ef3787a1c068c8cafef35f07fa784977bea1,50780835,BUY,2378.98989935,0.1261039402
0xe2114b9bc4ee596668d4228cf78277e90537bd4f,50780845,SELL,2377.74156498,2.9700000000
0x08225e709153092607046bcd5ee4eac6b8f33a79,50780846,SELL,2377.08543278,0.9370362568
0x9cbcda12971d2cc0df997c437cf4aa08a3f8a8c0,50780852,BUY,2379.28364665,0.0414653398
0x04247605e28b48251ddafa69a4376a55e4bcbefb,50780853,BUY,2379.29106435,0.0021450184
0x9b5c716ab00c152a16cb3bd73bd16c297689de40,50780854,SELL,2376.88176329,0.0612931860
0x96b32ba2a8c879ce3c6ccc8043df7f586762b71e,50780854,SELL,2376.86119004,0.0612931860
