wallet,block,side,price_usd,size_eth
0x8db9e22d30abdd6b043096676f0dd9be8d63d13f,25852637,SELL,2490.62850314,0.0019874353
0x9eb9e9b2ba5c2665a16beaa8e137410358b6beaf,25852642,SELL,2490.02299425,8.8259255713
0xcd8110e5e881b5e91aa4747b73ce2087be349152,25852649,BUY,2490.06493527,0.0000655549
0xb994ac30a8db2902fe7e32070ad368ec4c56a14a,25852649,BUY,2490.07053817,0.0000684491
0xa5fccd6d59f59b8ee1b4226e4bc6a064da86a495,25852649,SELL,2487.56869243,0.0002252372
0xbee841c6900a1947443f5ce6f72f774ecdce9541,25852660,BUY,2490.04040337,0.0000522690
0xb9292076329ed715997778efab355921988bac28,25852669,BUY,2490.82820027,0.0001224605
0xc443e318493f98dc95beca1dec7ca14dc48655eb,25852692,BUY,2489.30757195,0.0002602475
0x617d2d6d1013e99c8ee45612014f2dba9703f747,25852694,BUY,2489.52458087,7.6518064073
0xbddb9d595f83276c171e870b4c4046d65bd865df,25852694,BUY,2489.75186510,0.0001056322
0x81dc771e308c76c3e06f635abed7fb24830fb824,25852715,SELL,2484.58254127,12.8905133836
0xd7e1236c08731c3632519dcd1a581bfe6876a3b2,25852719,BUY,2486.72629422,0.8600861474
0x5b43453fce04b92e190f391a83136bfbecedefd1,25852723,BUY,2487.03901428,5.1713213469
0x9eb9e9b2ba5c2665a16beaa8e137410358b6beaf,25852724,BUY,2487.88516609,24.4879740638
0xbeef1aae567dc59b8ebe153089057c08ed932542,25852727,BUY,2488.60145952,0.0000190215
0xa6819285ce8a829c7fd67756b2140515a68b6b41,25852728,SELL,2486.45022673,0.8261824057
0xa883710b6dbf008a1cc25722c54583e35884a209,25852729,BUY,2489.74540306,2.5563435290
0x5b43453fce04b92e190f391a83136bfbecedefd1,25852737,BUY,2491.82538028,14.9454101358
0x74fc2d23c2243cfa55ddf02ec2ce53176bfac782,25852740,BUY,2493.21481711,0.6783511775
0x731c0a8b6514c7e51f07251e0d030f9459b0903d,25852753,BUY,2491.82087985,0.0001834072
0xebce867d20b3509a6ffb6f4181098245b5756aa8,25852778,BUY,2491.92250455,0.0001803636
0x0280b5a5292f815f2e5392006c6cd0c0bd5edaa9,25852789,BUY,2492.14851727,0.8657410355
0x49719d256a5ea16bfa579ea16e95bea9fa41a452,25852789,BUY,2492.17614758,0.1051568218
0xb9292076329ed715997778efab355921988bac28,25852793,BUY,2492.41021751,0.0001029718
0x449836ba684b57118c66786b4cc159d62c92bd64,25852793,BUY,2492.40631139,0.0001873715
0xe20446cccbfd5f9038e747f1dea8016ecbd94ae5,25852800,SELL,2490.31605136,0.0062300000
0xc85e5955978f68f3cca810703efebcb4bedf469c,25852807,BUY,2492.83616198,0.1067465031
0xb8b4ea71ffd92c7628a86cb151bf6784b6e791af,25852838,SELL,2490.98287500,0.0080000000
0x309c475a0431a11bf2d914d1849f65630608b064,25852857,SELL,2490.42400000,0.0005000000
0x4df457f338f4c102f066f807fc16cad81bdc42f6,25852860,BUY,2492.91769882,0.0001636356
0x05c8c49dacd63d131e1af490869db1cc42f624d1,25852865,SELL,2490.02733569,1.5714018348
0x8a73185ecc9fa7a6417272656fb045318e9e0878,25852866,BUY,2492.47471149,0.0005969348
0x4b03c323b67f297fba42ef9541ae445ab29552b5,25852868,BUY,2492.47739487,0.0001688380
0x55f59c7874bb197a43094505ea4dd04c24dbfc25,25852871,BUY,2492.48012890,0.0001525019
0xf009283c72b7950e69a76df39d2de96d42ec4643,25852877,BUY,2492.47439340,0.0001475959
0x62775df9bc60c661e83c0d7adfc1c6399be9ace7,25852878,SELL,2489.96766897,0.5093821526
0x4b03c323b67f297fba42ef9541ae445ab29552b5,25852882,BUY,2492.44533095,0.0008632117
0x9d77e4cc75a0253f67bfcdbe5d7ad53ce2b2f350,25852889,SELL,2489.89325408,0.2612362100
0x5c3593481cba011737e36ded62f1797c9f6afce1,25852895,BUY,2492.44889111,0.0457021969
0x7e52530f64c482adc9f159eb5cfb32c6e0aecc90,25852896,BUY,2492.52354762,2.5794815692
0x5ed864e8f37dcb4f79c5172a815d1b3a9147eaab,25852899,BUY,2492.97492055,0.0401187827
0x5c3593481cba011737e36ded62f1797c9f6afce1,25852921,SELL,2489.19905521,5.1717471297
0x211e1979c9ce69ab7d9b93e648d7c25cc461d092,25852922,BUY,2491.54743969,0.0001447956
0x1b88b3c6da47f94e30562c87fc7453ce0432249f,25852927,BUY,2489.71237075,2.2524574565
0x5640e9987249d2ac4547fd7021928ebc0f2bb25f,25852929,SELL,2488.42385595,2.0383059553
0xe4ed3720d16802dfaac61183b0ec3fe13520b908,25852944,BUY,2498.18370661,247.0309283435
0xe9f95ab106b82c9d6a74eefab2d9fba9c5f2b642,25852944,SELL,2496.28149902,226.2378900856
0x91c471ed784fb8897066783b5addd80f485dfa4b,25852944,SELL,2489.77165418,2.4276950000
0xb5b43efd3f5b03f344336a70a77ab60a72af3624,25852945,SELL,2489.24698876,0.0130033493
0x9938b504bc088df8d5831cd53073f94333c24358,25852951,BUY,2486.42319571,68.2650068725
0x9bd218c8089a8bb7422607afe5b37a9e1404deaa,25852952,BUY,2488.83603973,2.7280205797
0xd468799e5714a4f50d3a98de2571a3e832bd2154,25852953,BUY,2488.92448435,0.4017799681
0x7869aa4a54b0de79d344d03c956c585a537d33f9,25852953,BUY,2489.12477886,1.3024653258
0x6854b4ade88291b66b9de5e45efbc18f17b718c7,25852958,BUY,2491.30448155,0.3363298249
0xf9ad3a3f0a49d0b489211dc98960b2da016cc08a,25852965,BUY,2491.66856221,0.0001240137
0xebce867d20b3509a6ffb6f4181098245b5756aa8,25852965,BUY,2491.75880734,0.0001314501
0xa908c9bc484841a7e7f417ffc68a4f48dfb7ff05,25852971,BUY,2491.76231431,0.0001302592
0xd7f047ddf5abc6df7eff393dec7971cf4ccc3911,25853003,SELL,2489.13310638,1.6333758402
0xeaa9ebddd373c4bd8bb92dfcc9c7e7fcdb268e51,25853023,SELL,2484.79606035,9.9254386533
0xfa25bf1f3abc9109ff586a7745fd5bf25db9f3e5,25853028,SELL,2483.59074635,0.1043445791
0xeab7366a09ce1a2cd7e114ee231055ef29599d32,25853034,BUY,2486.02379873,0.0006452714
0xea614d0768856fe2f64cf4a0f81443dc416179ff,25853035,SELL,2482.52204169,35.8346046723
0x370a7e2d300c14d79d4a7ee07aaca46c4b3012cf,25853036,BUY,2484.64190468,0.0196314503
0x08b00ceee2fb66029b53d76110b19eeaabfd1e65,25853044,SELL,2482.12990061,1.0076288950
0xea72f39a3d300eadf58f77fc39f666be59adc47e,25853049,SELL,2482.29178591,0.0006355353
0x0f730fde3331c7968d4efb2856005d129f7ecf34,25853049,BUY,2484.77879083,0.0003244446
0x9eb9e9b2ba5c2665a16beaa8e137410358b6beaf,25853060,BUY,2487.04754656,12.2690748206
0x6a5ac574a26df5ac487c5074c2fd80c2578c81f7,25853061,BUY,2488.04575134,22.8723431538
0xf9da23ad9b1d262dcecc68ad01538d1992281f35,25853081,BUY,2489.47694318,0.0598920992
0xeede84157426f50bc7bda6b86909062ed638a121,25853095,SELL,2485.89828603,0.5714702914
0x6f0e4088b9ad935bb4401ea7c1a4c3fd1471f64b,25853096,SELL,2485.87890345,0.1114400000
0xc443e318493f98dc95beca1dec7ca14dc48655eb,25853096,BUY,2488.36405359,0.0001180965
0x0c8db762be3195b759aa6145504bdec0aa93d4a2,25853098,SELL,2485.82841939,1.6847223804
